org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.PessimisticWriteUpdateLockingStrategy,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.UpdateLockingStrategy,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.action.internal.EntityVerifyVersionProcess,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.SelectLockingStrategy,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.PessimisticWriteSelectLockingStrategy,1, LD
org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer$GenerationState,org.hibernate.id.enhanced.SequenceStyleGenerator,1, LD
org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer$GenerationState,org.hibernate.id.enhanced.StandardOptimizerDescriptor,1, LD
org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer$GenerationState,org.hibernate.cfg.AvailableSettings,1, LD
org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer$GenerationState,org.hibernate.id.enhanced.TableGenerator,1, LD
org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer$GenerationState,org.hibernate.mapping.SimpleValue,1, LD
org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer$GenerationState,org.hibernate.mapping.SimpleValue$ParameterTypeImpl,1, LD
org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer$GenerationState,org.hibernate.id.enhanced.OptimizerFactory,1, LD
org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer$GenerationState,org.hibernate.id.enhanced.PooledLoThreadLocalOptimizer,3, LD
org.hibernate.id.uuid.CustomVersionOneStrategy,org.hibernate.persister.entity.AbstractEntityPersister$StructuredCacheEntryHelper,1, LD
